Symbol,median_volatility,hist_volatility,mean_momentum,mean_volume_norm,environmentScore,socialScore,governanceScore,marketCap,beta,highestControversy,GICS_Sector_encoded,GICS_Sector,Cluster_DBSCAN
ARE,0.02048059949342248,0.2611383534482805,0.9921439437385515,6.136617145586118e-05,2.85,3.69,6.59,23.589392580610944,1.193,0,4.796333333333333,Real Estate,Safe
ATO,0.013462373833825116,0.15669426386916283,1.0089236544921907,3.5858026316979033e-05,13.71,13.21,4.31,23.91724970779806,0.664,2,4.248064516129032,Utilities,Safe
AVB,0.016132545161700505,0.18337728069719403,1.007772762327457,2.1570251738498606e-05,2.23,2.4,3.47,24.202828271220874,1.013,1,4.796333333333333,Real Estate,Safe
AVY,0.015085629184453522,0.18260371417816915,0.9981494782672037,3.481021797352269e-05,7.03,1.28,2.67,23.41020652303859,0.861,1,4.296296296296297,Materials,Safe
AWK,0.017116946049129757,0.21128847262395814,0.9998002365165904,4.477254272327663e-05,8.86,6.69,3.63,24.026804640845047,0.681,1,4.248064516129032,Utilities,Safe
AXON,0.02317862739347953,0.49494319161671874,1.0334876600226444,1.600861364592731e-05,2.38,20.09,8.03,24.414416706267552,1.123,1,4.938666666666666,Industrials,Risky
AXP,0.01622000906440312,0.23890695319544675,1.018558223836725,1.3460379343263546e-05,0.13,9.7,8.45,26.058835634702053,1.212,2,8.912463768115943,Financials,Moderate
AZO,0.01700820063655158,0.20381840044900248,1.0096673797030387,2.3008928062158564e-06,0.16,7.21,3.6,24.789973068177986,0.71,2,4.690799999999999,Consumer Discretionary,Safe
BA,0.025165562913907286,0.3323763402339828,0.9917619649734047,7.151022573707997e-05,7.9,22.18,6.47,25.571837000076986,1.526,4,4.938666666666666,Industrials,Risky
BAC,0.01670096482744402,0.22548800652413875,1.0125562158036603,0.00010840343848319777,1.88,13.65,8.83,26.57105918548746,1.331,3,8.912463768115943,Financials,Moderate
BALL,0.01705097762056051,0.2407249892372274,0.9972755544943854,0.00013355527773008819,10.13,0.89,2.04,23.4142642493283,0.991,2,4.296296296296297,Materials,Safe
BAX,0.020788759668660964,0.27769764017078596,0.9938003632774425,0.00024024005641653945,2.73,13.51,5.68,23.60444253942876,0.603,3,5.7454237288135594,Health Care,Risky
